Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A794011,Chunk,05/08/2019 6:20:00 PM,May 2019,05/02/2017,Rto-Adopt,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
A776359,Gizmo,07/18/2018 4:02:00 PM,Jul 2018,07/12/2017,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White/Brown
A821648,,08/16/2020 11:38:00 AM,Aug 2020,08/16/2019,Euthanasia,,Other,Unknown,1 year,Raccoon,Gray
A720371,Moose,02/13/2016 5:59:00 PM,Feb 2016,10/08/2015,Adoption,,Dog,Neutered Male,4 months,Anatol Shepherd/Labrador Retriever,Buff
A674754,,03/18/2014 11:47:00 AM,Mar 2014,03/12/2014,Transfer,Partner,Cat,Intact Male,6 days,Domestic Shorthair Mix,Orange Tabby
A659412,Princess,10/05/2020 2:37:00 PM,Oct 2020,03/24/2013,Adoption,,Dog,Spayed Female,7 years,Chihuahua Shorthair Mix,Brown
A814515,Quentin,05/06/2020 7:59:00 AM,May 2020,03/01/2018,Adoption,Foster,Dog,Neutered Male,2 years,American Foxhound/Labrador Retriever,White/Brown
A860161,*Lalo,07/19/2022 3:53:00 PM,Jul 2022,05/04/2022,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A689724,*Donatello,10/18/2014 6:52:00 PM,Oct 2014,08/01/2014,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A680969,*Zeus,08/05/2014 4:59:00 PM,Aug 2014,06/03/2014,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Orange Tabby
A840370,Tulip,08/19/2021 7:36:00 PM,Aug 2021,08/06/2019,Adoption,,Dog,Spayed Female,2 years,Border Collie/Cardigan Welsh Corgi,Black/White
A684617,,07/27/2014 9:00:00 AM,Jul 2014,07/26/2012,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black
A742354,Artemis,01/22/2017 11:56:00 AM,Jan 2017,01/20/2010,Return to Owner,,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Blue/White
A818049,Fiona,06/01/2020 1:24:00 PM,Jun 2020,06/01/2018,Return to Owner,,Dog,Intact Female,2 years,Pit Bull,White/Blue
A843327,*Mary,10/08/2021 1:25:00 PM,Oct 2021,09/29/2019,Transfer,Out State,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Black/White
A681036,,06/11/2014 5:11:00 PM,Jun 2014,06/09/2014,Transfer,Partner,Cat,Intact Male,2 days,Domestic Shorthair Mix,Brown Tabby
A803149,*Birch,08/31/2019 4:26:00 PM,Aug 2019,08/08/2019,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Brown Tabby
A595061,Gypsy,08/18/2022 6:07:00 PM,Aug 2022,10/01/2010,Return to Owner,,Dog,Spayed Female,11 years,Labrador Retriever Mix,Red/White
A698049,Luigi,03/16/2015 2:50:00 PM,Mar 2015,06/05/2014,Transfer,Partner,Cat,Spayed Female,9 months,Domestic Medium Hair Mix,Black/White
A773792,,06/05/2018 3:30:00 PM,Jun 2018,05/05/2018,Euthanasia,Suffering,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby
A848454,Olli,01/07/2022 1:02:00 PM,Jan 2022,04/20/2014,Adoption,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Orange Tabby
A822928,*Primrose,01/24/2022 11:49:00 AM,Jan 2022,09/15/2010,Adoption,Foster,Cat,Spayed Female,11 years,Domestic Shorthair,Torbie
A833999,,05/08/2021 2:05:00 PM,May 2021,04/23/2021,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Medium Hair,Brown Tabby
A856853,Jameson,05/20/2022 3:32:00 PM,May 2022,11/09/2021,Adoption,,Dog,Neutered Male,6 months,Black Mouth Cur Mix,Brown/Black
A725795,,05/03/2016 12:39:00 PM,May 2016,04/15/2016,Euthanasia,Underage,Other,Unknown,2 weeks,Opossum,Gray
A835990,Jack,06/04/2021 2:31:00 PM,Jun 2021,06/04/2019,Return to Owner,,Dog,Intact Male,2 years,Weimaraner/Labrador Retriever,Blue
A730621,*Liza,09/10/2016 6:59:00 PM,Sep 2016,05/18/2016,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
A765349,Einstein,06/08/2018 1:04:00 PM,Jun 2018,01/18/2009,Adoption,Foster,Dog,Neutered Male,9 years,Chihuahua Shorthair Mix,Tricolor
A878380,A878380,04/15/2023 10:15:00 AM,Apr 2023,04/11/2021,Euthanasia,Suffering,Cat,Intact Male,2 years,Siamese Mix,Lilac Point
A760697,Star,10/26/2017 3:22:00 PM,Oct 2017,10/23/2007,Transfer,Partner,Dog,Intact Male,10 years,Yorkshire Terrier Mix,Brown/Black
A767231,Millie,02/25/2018 5:19:00 PM,Feb 2018,02/25/2017,Return to Owner,,Dog,Spayed Female,1 year,Jack Russell Terrier/Chihuahua Shorthair,White/Tan
A758536,,09/23/2017 11:09:00 AM,Sep 2017,03/18/2017,Transfer,Snr,Cat,Intact Female,6 months,Domestic Shorthair Mix,Brown Tabby
A754682,Big Girl,07/23/2017 11:58:00 AM,Jul 2017,07/22/2009,Return to Owner,,Dog,Spayed Female,8 years,Great Pyrenees Mix,White
A801106,,08/16/2019 2:05:00 PM,Aug 2019,05/06/2019,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby
A766700,,02/15/2018 8:59:00 AM,Feb 2018,02/15/2017,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown
A812473,Theodore Nubbins,03/05/2020 4:15:00 PM,Mar 2020,01/26/2010,Adoption,Foster,Dog,Neutered Male,10 years,Chihuahua Shorthair,Brown
A740079,Terry,12/26/2016 1:45:00 PM,Dec 2016,12/10/2013,Return to Owner,,Dog,Neutered Male,3 years,Australian Cattle Dog Mix,Black/White
A757919,*Tofu,10/05/2017 3:36:00 PM,Oct 2017,09/08/2015,Adoption,,Dog,Spayed Female,2 years,Beagle Mix,Brown/White
A789298,*Mr Wrinkles,04/23/2019 11:59:00 AM,Apr 2019,02/15/2019,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever Mix,Brown/White
A773866,*Nitro,08/23/2018 6:05:00 PM,Aug 2018,06/06/2016,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever/Staffordshire,Black/White
A765701,,01/25/2018 9:39:00 AM,Jan 2018,01/25/2017,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown
A699884,,04/03/2015 4:16:00 PM,Apr 2015,04/03/2013,Euthanasia,Suffering,Cat,Unknown,2 years,Domestic Shorthair Mix,Gray
A725530,King,06/09/2016 2:50:00 PM,Jun 2016,10/30/2015,Adoption,,Dog,Neutered Male,7 months,Pit Bull Mix,Brown Brindle/White
A722378,Canine,03/31/2016 7:08:00 PM,Mar 2016,03/15/2010,Return to Owner,,Dog,Neutered Male,6 years,German Shepherd Mix,Brown/Black
A852822,*Dreamsicle,03/21/2022 1:38:00 PM,Mar 2022,03/08/2020,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Orange Tabby
A707743,,07/18/2015 9:00:00 AM,Jul 2015,04/17/2015,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black/White
A681449,Buster,07/02/2014 7:01:00 PM,Jul 2014,06/16/2010,Return to Owner,,Dog,Neutered Male,4 years,Dogo Argentino Mix,White/Brown
